province,province_slug,location_name,lat,lon,status,attempts,rows,total_null_values,error,request_url
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Vung_Tau,10.34599,107.08426,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.34599&longitude=107.08426&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Ba_Ria,10.49631,107.16849,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.49631&longitude=107.16849&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Phu_My,10.568,107.07,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.568&longitude=107.07&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Chau_Duc,10.658,107.25,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.658&longitude=107.25&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Con_Dao,8.686,106.608,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=8.686&longitude=106.608&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Dat_Do,10.48,107.272,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.48&longitude=107.272&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Long_Dien,10.485,107.216,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.485&longitude=107.216&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Xuyen_Moc,10.541,107.401,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.541&longitude=107.401&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Quan_1,10.7756,106.7009,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.7756&longitude=106.7009&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Quan_3,10.7844,106.6843,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.7844&longitude=106.6843&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
