date,hour,datetime,province,province_slug,source_traffic_file,location_name,lat,lon,model_lat,model_lon,elevation,timezone,source_model,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,us_aqi_pm2_5,us_aqi_pm10,us_aqi_nitrogen_dioxide,us_aqi_carbon_monoxide,us_aqi_ozone,us_aqi_sulphur_dioxide
2025-01-01,00:00,2025-01-01T00:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,7.6,7.5,374.0,5.4,5.2,67.0,52,52,12,3,4,34,3
2025-01-01,01:00,2025-01-01T01:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,8.1,8.0,339.0,5.6,5.2,66.0,49,49,11,3,4,32,3
2025-01-01,02:00,2025-01-01T02:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,8.8,8.7,314.0,6.0,5.5,64.0,45,45,10,3,4,31,3
2025-01-01,03:00,2025-01-01T03:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,9.6,9.4,293.0,6.5,5.9,61.0,43,43,10,3,4,30,3
2025-01-01,04:00,2025-01-01T04:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,10.3,10.2,283.0,7.0,6.3,59.0,42,42,9,3,4,30,3
2025-01-01,05:00,2025-01-01T05:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,11.1,10.9,289.0,7.5,6.7,57.0,41,41,9,4,3,30,4
2025-01-01,06:00,2025-01-01T06:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,12.1,11.9,306.0,8.0,7.0,55.0,41,41,9,4,3,30,4
2025-01-01,07:00,2025-01-01T07:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,13.1,12.9,320.0,8.5,8.7,52.0,41,41,9,4,3,29,5
2025-01-01,08:00,2025-01-01T08:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,14.3,14.1,327.0,8.2,9.0,57.0,41,41,9,4,3,28,5
2025-01-01,09:00,2025-01-01T09:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,15.3,15.0,333.0,7.8,9.4,63.0,42,42,9,4,3,27,5
2025-01-01,10:00,2025-01-01T10:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,16.2,15.9,337.0,7.0,9.3,73.0,43,43,10,3,3,27,5
2025-01-01,11:00,2025-01-01T11:00,Long An,long_an,traffic_long_an_2025_old_map.csv,Thanh_Hoa,10.62,106.183,10.599998,106.20001,5.0,Asia/Ho_Chi_Minh,cams_global,17.1,16.8,341.0,5.4,8.4,88.0,44,44,10,3,3,28,5
