date,hour,datetime,province,province_slug,source_traffic_file,location_name,lat,lon,model_lat,model_lon,elevation,timezone,source_model,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,us_aqi_pm2_5,us_aqi_pm10,us_aqi_nitrogen_dioxide,us_aqi_carbon_monoxide,us_aqi_ozone,us_aqi_sulphur_dioxide
2026-01-01,00:00,2026-01-01T00:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,12.3,9.2,191.0,6.7,1.8,107.0,65,53,15,3,2,65,1
2026-01-01,01:00,2026-01-01T01:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,12.3,9.3,191.0,6.7,1.7,105.0,58,53,15,3,2,58,1
2026-01-01,02:00,2026-01-01T02:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,12.5,9.5,189.0,6.6,1.6,104.0,53,53,15,3,2,52,1
2026-01-01,03:00,2026-01-01T03:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,12.8,9.7,188.0,6.6,1.6,103.0,53,53,15,3,2,50,1
2026-01-01,04:00,2026-01-01T04:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,13.1,10.0,194.0,7.0,1.8,101.0,53,53,15,3,2,50,1
2026-01-01,05:00,2026-01-01T05:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,13.5,10.4,214.0,8.3,2.3,97.0,53,53,15,4,2,49,1
2026-01-01,06:00,2026-01-01T06:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,14.1,11.0,242.0,9.9,2.9,93.0,53,53,15,5,2,48,2
2026-01-01,07:00,2026-01-01T07:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,15.6,12.5,263.0,10.1,3.1,93.0,53,53,15,5,2,47,2
2026-01-01,08:00,2026-01-01T08:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,16.1,12.7,272.0,9.1,3.3,100.0,53,53,15,4,2,47,2
2026-01-01,09:00,2026-01-01T09:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,16.8,13.0,276.0,7.6,3.6,111.0,53,53,15,4,2,46,2
2026-01-01,10:00,2026-01-01T10:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,18.8,14.4,274.0,6.4,4.0,122.0,53,53,15,3,2,46,2
2026-01-01,11:00,2026-01-01T11:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,20.3,15.9,266.0,5.7,4.5,135.0,53,53,15,3,2,48,2
2026-01-01,12:00,2026-01-01T12:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,21.0,17.0,253.0,5.2,5.1,149.0,53,53,15,3,2,49,3
2026-01-01,13:00,2026-01-01T13:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,21.5,17.7,244.0,5.0,5.4,158.0,58,53,15,2,2,58,3
2026-01-01,14:00,2026-01-01T14:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,21.6,17.9,243.0,5.1,5.4,160.0,71,53,15,3,3,71,3
2026-01-01,15:00,2026-01-01T15:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,21.4,17.8,246.0,5.4,5.3,158.0,85,53,15,3,3,85,3
2026-01-01,16:00,2026-01-01T16:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,20.7,17.1,243.0,6.0,4.9,152.0,99,53,15,3,3,99,3
2026-01-01,17:00,2026-01-01T17:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,19.8,16.2,230.0,7.0,4.3,142.0,110,53,15,3,2,110,2
2026-01-01,18:00,2026-01-01T18:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,19.3,15.6,212.0,8.3,3.4,129.0,117,53,15,4,2,117,2
2026-01-01,19:00,2026-01-01T19:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,21.2,17.3,196.0,10.0,3.6,118.0,118,53,15,5,2,118,2
2026-01-01,20:00,2026-01-01T20:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,17.1,13.2,184.0,8.8,3.1,117.0,115,53,15,4,2,115,2
2026-01-01,21:00,2026-01-01T21:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,15.1,11.6,174.0,7.3,2.5,114.0,108,53,15,4,2,108,1
2026-01-01,22:00,2026-01-01T22:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,14.7,11.5,167.0,6.5,2.1,111.0,98,53,15,3,2,98,1
2026-01-01,23:00,2026-01-01T23:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,14.3,11.6,163.0,6.8,2.0,106.0,88,53,15,3,2,88,1
2026-01-02,00:00,2026-01-02T00:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,13.8,11.4,163.0,7.9,2.2,99.0,77,53,15,4,2,77,1
2026-01-02,01:00,2026-01-02T01:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,13.7,11.6,166.0,9.9,2.8,92.0,66,53,15,5,2,66,2
2026-01-02,02:00,2026-01-02T02:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Can_Gio,10.4114,106.9547,10.400002,107.0,6.0,Asia/Ho_Chi_Minh,cams_global,14.2,12.2,172.0,13.0,4.0,84.0,55,53,15,6,2,55,2
