District,Type,Area_km2,Population,Density_person_km2,Emission_population_g_per_hour
TP Tây Ninh,Urban,142.98,1081612,7564.78,53506083.8
Hòa Thành,Rural,461.09,244647,530.58,12167009.74
Trảng Bàng,Rural,490.19,84490,172.36,3702938.44
Gò Dầu,Rural,150.34,112226,746.48,5350115.54
Bến Cầu,Rural,787.04,102087,129.71,4503467.89
Châu Thành,Rural,520.95,340331,653.29,15349675.15
Dương Minh Châu,Rural,640.79,151849,236.97,7242704.21
Tân Châu,Rural,99.17,169502,1709.21,8443277.99
Tân Biên,Rural,757.02,258456,341.41,12719345.05
TP Vũng Tàu,Urban,93.78,144235,1538.01,6628566.71
TP Bà Rịa,Urban,140.16,516579,3685.64,21293261.73
TX Phú Mỹ,Urban,154.61,323405,2091.75,15473171.33
Châu Đức,Rural,477.96,242917,508.24,9927034.34
Xuyên Mộc,Rural,502.12,195629,389.61,8691393.94
Long Điền,Rural,756.73,142308,188.06,6862641.32
Đất Đỏ,Rural,313.36,284177,906.87,12877747.46
Côn Đảo,Rural,653.88,259263,396.5,12160376.69
TP Thủ Đức,Urban,191.2,985129,5152.35,45855720.73
Quận 1,Urban,150.15,774710,5159.57,37615061.96
Quận 3,Urban,211.24,801974,3796.51,33898433.88
Quận 4,Urban,136.55,734433,5378.49,30559190.11
Quận 5,Urban,75.75,774539,10224.94,33260847.19
Quận 6,Urban,26.27,387827,14763.11,18098302.08
Quận 7,Urban,74.72,655742,8775.99,29927913.33
Quận 8,Urban,224.81,80707,359.0,3511595.84
Quận 10,Urban,184.66,402495,2179.65,18121577.88
Quận 11,Urban,100.85,800052,7933.09,36114955.47
Quận 12,Urban,82.28,131385,1596.8,5919207.53
Bình Tân,Rural,493.03,67379,136.66,2833753.68
Bình Thạnh,Rural,227.43,125192,550.46,5798961.11
Gò Vấp,Rural,695.41,129248,185.86,5503966.87
Phú Nhuận,Rural,88.19,277479,3146.38,11641354.46
Tân Bình,Rural,182.45,140351,769.26,6816775.75
Tân Phú,Rural,251.81,215194,854.59,9165902.21
Bình Chánh,Rural,733.54,121557,165.71,5749708.85
Cần Giờ,Rural,310.3,240508,775.08,9982453.97
Củ Chi,Rural,761.66,170172,223.42,7836135.13
Hóc Môn,Rural,404.57,146644,362.47,5979412.52
Nhà Bè,Rural,447.18,176119,393.84,8222261.84
Biên Hòa,Urban,84.31,558591,6625.44,22399258.32
Long Khánh,Urban,190.74,1163091,6097.78,50679455.06
Nhơn Trạch,Rural,452.59,220896,488.07,9409878.39
Long Thành,Rural,127.99,128295,1002.38,5526390.7
Trảng Bom,Rural,445.19,273804,615.03,12650346.34
Thống Nhất,Rural,380.46,223538,587.55,9204755.82
Vĩnh Cửu,Rural,532.54,180475,338.89,8957728.24
Định Quán,Rural,732.19,131614,179.75,5603353.7
Tân Phú,Rural,161.78,171377,1059.32,8121285.26
Cẩm Mỹ,Rural,436.68,145854,334.01,6853340.56
Xuân Lộc,Rural,531.1,103347,194.59,4323407.86
Tân An,Urban,92.83,205764,2216.57,9987127.12
Kiến Tường,Urban,9.75,334798,34338.26,16101559.83
Bến Lức,Rural,505.94,226363,447.41,10769312.39
Cần Đước,Rural,242.34,187238,772.63,8626723.71
Cần Giuộc,Rural,218.75,78497,358.84,3652356.68
Châu Thành,Rural,480.89,277032,576.08,13062059.51
Đức Hòa,Rural,284.42,189418,665.98,8838928.5
Đức Huệ,Rural,222.71,195170,876.34,8702521.87
Mộc Hóa,Rural,729.59,78576,107.7,3424005.83
Tân Hưng,Rural,622.83,294306,472.53,13400215.65
Tân Thạnh,Rural,581.67,102023,175.4,4926516.87
Tân Trụ,Rural,674.35,259608,384.98,12837867.73
Thạnh Hóa,Rural,380.73,96533,253.55,4707563.74
Thủ Thừa,Rural,641.63,96279,150.05,4632118.4
Vĩnh Hưng,Rural,737.12,325143,441.1,14395209.88
