province,district,green_area_m2,green_per_capita_m2,num_trees,co2_absorption_g_per_hour,co2_absorption_kg_per_hour
Tây Ninh,TP Tây Ninh,5328764,1.89,139859,440119.96,440.12
Tây Ninh,Hòa Thành,21259983,7.01,514035,1423727.26,1423.727
Tây Ninh,Trảng Bàng,5707400,17.72,280536,650475.22,650.475
Tây Ninh,Gò Dầu,10598544,34.5,519935,1169453.43,1169.453
Tây Ninh,Bến Cầu,4435146,22.51,226240,701450.45,701.45
Tây Ninh,Châu Thành,9853406,7.75,419823,1253623.21,1253.623
Tây Ninh,Dương Minh Châu,24931211,18.13,858304,2334357.31,2334.357
Tây Ninh,Tân Châu,4527767,23.68,145553,350517.45,350.517
Tây Ninh,Tân Biên,11668892,23.96,561394,1311479.8,1311.48
Bà Rịa - Vũng Tàu,TP Vũng Tàu,3736673,1.92,116513,345474.67,345.475
Bà Rịa - Vũng Tàu,TP Bà Rịa,4364427,7.95,137003,414075.97,414.076
Bà Rịa - Vũng Tàu,TX Phú Mỹ,3368855,5.58,109526,328255.36,328.255
Bà Rịa - Vũng Tàu,Huyện Châu Đức,16892848,26.33,467060,1290343.3,1290.343
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,21819022,61.2,566301,1721458.67,1721.459
Bà Rịa - Vũng Tàu,Huyện Long Điền,15051594,13.35,489503,1229660.07,1229.66
Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,12893311,34.99,514443,1170617.12,1170.617
Bà Rịa - Vũng Tàu,Huyện Côn Đảo,37700949,56.0,1531538,3789844.69,3789.845
HCM,TP Thủ Đức,6006435,8.64,333540,1036105.56,1036.106
HCM,Quận 1,5883742,5.75,183073,504203.43,504.203
HCM,Quận 3,1939982,5.37,71301,181343.25,181.343
HCM,Quận 4,2716529,3.75,146143,452768.22,452.768
HCM,Quận 5,4070571,6.91,177470,426773.48,426.773
HCM,Quận 6,1853085,6.45,48114,151963.16,151.963
HCM,Quận 7,1917968,3.35,104961,292023.96,292.024
HCM,Quận 8,2289135,8.96,56134,171598.75,171.599
HCM,Quận 10,2651681,7.27,109461,340171.34,340.171
HCM,Quận 11,1794913,7.26,69904,179189.49,179.189
HCM,Quận 12,3961069,9.06,168548,497460.48,497.46
HCM,Quận Bình Tân,7294794,2.73,180776,425407.8,425.408
HCM,Quận Bình Thạnh,6258481,4.68,168286,505030.15,505.03
HCM,Quận Gò Vấp,6315352,6.64,201292,444846.64,444.847
HCM,Quận Phú Nhuận,6984276,4.13,198752,539901.53,539.902
HCM,Quận Tân Bình,3748550,5.5,145163,457763.6,457.764
HCM,Quận Tân Phú,8463202,2.44,237768,630989.99,630.99
HCM,Huyện Bình Chánh,17823468,24.37,636207,1610239.33,1610.239
HCM,Huyện Cần Giờ,51401826,72.91,1293463,3046967.75,3046.968
HCM,Huyện Củ Chi,7311297,16.36,204613,551512.66,551.513
HCM,Huyện Hóc Môn,9634713,26.57,291636,671273.55,671.274
HCM,Huyện Nhà Bè,12306579,16.82,332302,750992.21,750.992
Đồng Nai,TP Biên Hòa,7578830,1.26,236671,712222.5,712.222
Đồng Nai,TP Long Khánh,5612522,6.14,215259,537559.76,537.56
Đồng Nai,Huyện Nhơn Trạch,26263511,14.33,1073856,3049522.34,3049.522
Đồng Nai,Huyện Long Thành,25406396,18.17,793149,2312029.54,2312.03
Đồng Nai,Huyện Trảng Bom,13026492,22.73,383214,919027.08,919.027
Đồng Nai,Huyện Thống Nhất,12790933,19.85,322571,1030807.4,1030.807
Đồng Nai,Huyện Vĩnh Cửu,25315615,38.38,701376,2063093.13,2063.093
Đồng Nai,Huyện Định Quán,27339377,23.35,874138,2532172.62,2532.173
Đồng Nai,Huyện Tân Phú,31318046,65.24,828265,2153320.83,2153.321
Đồng Nai,Huyện Cẩm Mỹ,15237239,18.69,375310,1154692.53,1154.693
Đồng Nai,Huyện Xuân Lộc,13159690,9.47,645087,2012264.95,2012.265
Long An,TP Tân An,5052295,4.75,162729,503759.17,503.759
Long An,TX Kiến Tường,2775664,2.15,78826,245743.55,245.744
Long An,Huyện Bến Lức,20906111,7.77,546952,1501306.18,1501.306
Long An,Huyện Cần Đước,18921521,32.59,914027,2246322.48,2246.322
Long An,Huyện Cần Giuộc,7683157,25.88,426183,1203668.22,1203.668
Long An,Huyện Châu Thành,14123064,15.32,585188,1294203.9,1294.204
Long An,Huyện Đức Hòa,3723275,34.1,147138,420295.86,420.296
Long An,Huyện Đức Huệ,4752732,11.78,133752,413796.59,413.797
Long An,Huyện Mộc Hóa,21834984,16.27,823664,1922645.73,1922.646
Long An,Huyện Tân Hưng,8083775,11.29,215202,530473.12,530.473
Long An,Huyện Tân Thạnh,25617131,20.95,870312,2761003.13,2761.003
Long An,Huyện Tân Trụ,10257904,13.63,277467,640649.77,640.65
Long An,Huyện Thạnh Hóa,27879394,32.54,1294488,3735182.11,3735.182
Long An,Huyện Thủ Thừa,12587350,13.68,448692,1225097.44,1225.097
Long An,Huyện Vĩnh Hưng,7976902,17.5,241279,583382.23,583.382
