variant,target,feature,gain
xgboost_next_day,target_currentspeed,lag24_currentspeed,443784.03125
xgboost_next_day,target_currentspeed,rolling24_currentspeed_mean,7718.1083984375
xgboost_next_day,target_currentspeed,target_hour_cos,5939.17822265625
xgboost_next_day,target_currentspeed,target_dow_cos,4099.466796875
xgboost_next_day,target_currentspeed,target_dow_sin,4027.453857421875
xgboost_next_day,target_currentspeed,green_per_capita_m2,2867.448486328125
xgboost_next_day,target_currentspeed,target_hour_sin,2834.8876953125
xgboost_next_day,target_currentspeed,estimated_vehicles,2333.797607421875
xgboost_next_day,target_currentspeed,rolling24_traffic_density_mean,2292.593994140625
xgboost_next_day,target_currentspeed,lag24_congestion_ratio,1416.9962158203125
xgboost_next_day,target_currentspeed,lag24_freeflowspeed,1204.9095458984375
xgboost_next_day,target_currentspeed,lon,1118.2840576171875
xgboost_next_day,target_currentspeed,forecast_relative_humidity_2m,931.6400756835938
xgboost_next_day,target_currentspeed,density_person_km2,920.664306640625
xgboost_next_day,target_currentspeed,lag24_traffic_density,899.2325439453125
xgboost_next_day,target_currentspeed,lat,873.4071044921875
xgboost_next_day,target_currentspeed,area_km2,809.4549560546875
xgboost_next_day,target_currentspeed,green_area_m2,792.4644165039062
xgboost_next_day,target_currentspeed,population,768.3753051757812
xgboost_next_day,target_currentspeed,target_doy_sin,696.14111328125
xgboost_next_day,target_currentspeed,lag24_ozone,683.3662719726562
xgboost_next_day,target_currentspeed,target_doy_cos,673.3422241210938
xgboost_next_day,target_currentspeed,rolling24_currentspeed_std,671.4280395507812
xgboost_next_day,target_currentspeed,lag24_relative_humidity_2m,648.5179443359375
xgboost_next_day,target_currentspeed,forecast_temperature_2m,609.2973022460938
xgboost_next_day,target_currentspeed,lag24_temperature_2m,574.700927734375
xgboost_next_day,target_currentspeed,lag24_nitrogen_dioxide,497.500732421875
xgboost_next_day,target_currentspeed,forecast_precipitation,422.1624450683594
xgboost_next_day,target_currentspeed,lag24_wind_speed_10m,420.4228210449219
xgboost_next_day,target_currentspeed,lag24_precipitation,388.01580810546875
xgboost_next_day,target_currentspeed,forecast_wind_speed_10m,361.38909912109375
xgboost_next_day,target_currentspeed,lag24_cloud_cover,357.4903259277344
xgboost_next_day,target_currentspeed,lag24_pm10,344.5093078613281
xgboost_next_day,target_currentspeed,lag24_sulphur_dioxide,344.5068664550781
xgboost_next_day,target_currentspeed,rolling24_pm2_5_std,339.1491394042969
xgboost_next_day,target_currentspeed,forecast_cloud_cover,335.2709655761719
xgboost_next_day,target_currentspeed,rolling24_us_aqi_mean,334.32958984375
xgboost_next_day,target_currentspeed,rolling24_traffic_density_std,331.3410949707031
xgboost_next_day,target_currentspeed,lag24_carbon_monoxide,329.5100402832031
xgboost_next_day,target_currentspeed,rolling24_pm2_5_mean,328.3675537109375
xgboost_next_day,target_currentspeed,lag24_us_aqi,306.8063659667969
xgboost_next_day,target_currentspeed,rolling24_us_aqi_std,305.3683166503906
xgboost_next_day,target_currentspeed,lag24_pm2_5,304.6143798828125
xgboost_next_day,target_traffic_density,lag24_congestion_ratio,88.27372741699219
xgboost_next_day,target_traffic_density,lag24_traffic_density,61.36932373046875
xgboost_next_day,target_traffic_density,target_hour_cos,2.851825714111328
xgboost_next_day,target_traffic_density,target_dow_cos,2.0791587829589844
xgboost_next_day,target_traffic_density,target_dow_sin,2.0463736057281494
xgboost_next_day,target_traffic_density,rolling24_traffic_density_mean,1.793861985206604
xgboost_next_day,target_traffic_density,estimated_vehicles,1.0898723602294922
xgboost_next_day,target_traffic_density,target_hour_sin,1.0571955442428589
xgboost_next_day,target_traffic_density,rolling24_currentspeed_mean,0.8851444125175476
xgboost_next_day,target_traffic_density,green_per_capita_m2,0.4419943690299988
xgboost_next_day,target_traffic_density,green_area_m2,0.36403581500053406
xgboost_next_day,target_traffic_density,lon,0.3589358627796173
xgboost_next_day,target_traffic_density,area_km2,0.32940569519996643
xgboost_next_day,target_traffic_density,forecast_relative_humidity_2m,0.31470417976379395
xgboost_next_day,target_traffic_density,target_doy_cos,0.2973615527153015
xgboost_next_day,target_traffic_density,target_doy_sin,0.29158931970596313
xgboost_next_day,target_traffic_density,lag24_ozone,0.2847578227519989
xgboost_next_day,target_traffic_density,lat,0.2787899971008301
xgboost_next_day,target_traffic_density,lag24_temperature_2m,0.26806530356407166
xgboost_next_day,target_traffic_density,forecast_temperature_2m,0.25739046931266785
xgboost_next_day,target_traffic_density,population,0.24829120934009552
xgboost_next_day,target_traffic_density,density_person_km2,0.23141944408416748
xgboost_next_day,target_traffic_density,lag24_relative_humidity_2m,0.2152913212776184
xgboost_next_day,target_traffic_density,lag24_freeflowspeed,0.21248529851436615
xgboost_next_day,target_traffic_density,lag24_nitrogen_dioxide,0.21069283783435822
xgboost_next_day,target_traffic_density,lag24_sulphur_dioxide,0.20116621255874634
xgboost_next_day,target_traffic_density,lag24_precipitation,0.1967301368713379
xgboost_next_day,target_traffic_density,forecast_precipitation,0.19320638477802277
xgboost_next_day,target_traffic_density,rolling24_us_aqi_std,0.18768063187599182
xgboost_next_day,target_traffic_density,lag24_wind_speed_10m,0.18713071942329407
xgboost_next_day,target_traffic_density,rolling24_traffic_density_std,0.17940255999565125
xgboost_next_day,target_traffic_density,lag24_pm10,0.15902045369148254
xgboost_next_day,target_traffic_density,forecast_wind_speed_10m,0.15880867838859558
xgboost_next_day,target_traffic_density,lag24_cloud_cover,0.1575120985507965
xgboost_next_day,target_traffic_density,rolling24_pm2_5_std,0.15471185743808746
xgboost_next_day,target_traffic_density,rolling24_pm2_5_mean,0.1542053073644638
xgboost_next_day,target_traffic_density,forecast_cloud_cover,0.15241201221942902
xgboost_next_day,target_traffic_density,lag24_carbon_monoxide,0.1512547731399536
xgboost_next_day,target_traffic_density,rolling24_currentspeed_std,0.14848215878009796
xgboost_next_day,target_traffic_density,lag24_pm2_5,0.14805234968662262
xgboost_next_day,target_traffic_density,lag24_currentspeed,0.1401110738515854
xgboost_next_day,target_traffic_density,rolling24_us_aqi_mean,0.13829654455184937
xgboost_next_day,target_traffic_density,lag24_us_aqi,0.1376468390226364
xgboost_next_day,target_us_aqi,lag24_us_aqi,4981829.0
xgboost_next_day,target_us_aqi,lag24_pm2_5,421481.46875
xgboost_next_day,target_us_aqi,rolling24_pm2_5_mean,310110.15625
xgboost_next_day,target_us_aqi,lag24_pm10,290529.25
xgboost_next_day,target_us_aqi,rolling24_us_aqi_mean,141950.78125
xgboost_next_day,target_us_aqi,target_doy_sin,112333.3828125
xgboost_next_day,target_us_aqi,lon,98066.1796875
xgboost_next_day,target_us_aqi,estimated_vehicles,89326.953125
xgboost_next_day,target_us_aqi,lag24_ozone,88072.1171875
xgboost_next_day,target_us_aqi,lag24_sulphur_dioxide,86094.1953125
xgboost_next_day,target_us_aqi,target_doy_cos,81304.8515625
xgboost_next_day,target_us_aqi,forecast_temperature_2m,68453.8046875
xgboost_next_day,target_us_aqi,target_hour_cos,67242.9296875
xgboost_next_day,target_us_aqi,forecast_wind_speed_10m,63507.38671875
xgboost_next_day,target_us_aqi,lag24_temperature_2m,61337.53515625
xgboost_next_day,target_us_aqi,target_hour_sin,61217.29296875
xgboost_next_day,target_us_aqi,lag24_relative_humidity_2m,60709.42578125
xgboost_next_day,target_us_aqi,lag24_nitrogen_dioxide,59890.34375
