variant,target,feature,gain
xgboost_weather_only,target_currentspeed,green_per_capita_m2,422101.09375
xgboost_weather_only,target_currentspeed,green_area_m2,53015.1171875
xgboost_weather_only,target_currentspeed,estimated_vehicles,41525.2421875
xgboost_weather_only,target_currentspeed,target_hour_cos,40233.07421875
xgboost_weather_only,target_currentspeed,lon,18250.96484375
xgboost_weather_only,target_currentspeed,area_km2,15234.96875
xgboost_weather_only,target_currentspeed,density_person_km2,12951.7685546875
xgboost_weather_only,target_currentspeed,population,10717.826171875
xgboost_weather_only,target_currentspeed,target_hour_sin,9047.517578125
xgboost_weather_only,target_currentspeed,lat,6478.6865234375
xgboost_weather_only,target_currentspeed,target_dow_sin,4826.3564453125
xgboost_weather_only,target_currentspeed,forecast_relative_humidity_2m,1754.4857177734375
xgboost_weather_only,target_currentspeed,target_doy_sin,1299.3038330078125
xgboost_weather_only,target_currentspeed,target_doy_cos,1201.2049560546875
xgboost_weather_only,target_currentspeed,forecast_temperature_2m,927.6746826171875
xgboost_weather_only,target_currentspeed,forecast_precipitation,314.31451416015625
xgboost_weather_only,target_currentspeed,target_dow_cos,252.800048828125
xgboost_weather_only,target_currentspeed,forecast_wind_speed_10m,233.79977416992188
xgboost_weather_only,target_currentspeed,forecast_cloud_cover,224.9164276123047
xgboost_weather_only,target_traffic_density,target_hour_cos,32.458580017089844
xgboost_weather_only,target_traffic_density,estimated_vehicles,13.12912654876709
xgboost_weather_only,target_traffic_density,green_per_capita_m2,9.262717247009277
xgboost_weather_only,target_traffic_density,target_hour_sin,7.546041488647461
xgboost_weather_only,target_traffic_density,target_dow_sin,2.9692797660827637
xgboost_weather_only,target_traffic_density,green_area_m2,1.9536800384521484
xgboost_weather_only,target_traffic_density,area_km2,1.8454387187957764
xgboost_weather_only,target_traffic_density,lon,1.6040785312652588
xgboost_weather_only,target_traffic_density,density_person_km2,1.4896345138549805
xgboost_weather_only,target_traffic_density,forecast_temperature_2m,0.7919623851776123
xgboost_weather_only,target_traffic_density,forecast_relative_humidity_2m,0.759973406791687
xgboost_weather_only,target_traffic_density,target_doy_sin,0.6781332492828369
xgboost_weather_only,target_traffic_density,population,0.5725578665733337
xgboost_weather_only,target_traffic_density,target_doy_cos,0.5248460173606873
xgboost_weather_only,target_traffic_density,lat,0.5052932500839233
xgboost_weather_only,target_traffic_density,forecast_precipitation,0.2839398980140686
xgboost_weather_only,target_traffic_density,target_dow_cos,0.13254566490650177
xgboost_weather_only,target_traffic_density,forecast_wind_speed_10m,0.12507817149162292
xgboost_weather_only,target_traffic_density,forecast_cloud_cover,0.12024955451488495
xgboost_weather_only,target_us_aqi,lon,2538828.5
xgboost_weather_only,target_us_aqi,estimated_vehicles,1053299.5
xgboost_weather_only,target_us_aqi,green_per_capita_m2,877833.5
xgboost_weather_only,target_us_aqi,target_doy_cos,559888.625
xgboost_weather_only,target_us_aqi,lat,433504.40625
xgboost_weather_only,target_us_aqi,target_doy_sin,408910.15625
xgboost_weather_only,target_us_aqi,density_person_km2,339115.21875
xgboost_weather_only,target_us_aqi,population,186742.453125
xgboost_weather_only,target_us_aqi,target_hour_sin,183758.796875
xgboost_weather_only,target_us_aqi,forecast_wind_speed_10m,158348.296875
xgboost_weather_only,target_us_aqi,area_km2,92519.8828125
xgboost_weather_only,target_us_aqi,target_hour_cos,83051.265625
xgboost_weather_only,target_us_aqi,target_dow_cos,77853.328125
xgboost_weather_only,target_us_aqi,forecast_cloud_cover,77255.5703125
xgboost_weather_only,target_us_aqi,target_dow_sin,60677.48828125
xgboost_weather_only,target_us_aqi,forecast_relative_humidity_2m,54299.83203125
xgboost_weather_only,target_us_aqi,green_area_m2,37810.546875
xgboost_weather_only,target_us_aqi,forecast_temperature_2m,37028.87890625
xgboost_weather_only,target_us_aqi,forecast_precipitation,20097.4453125
